Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.0004973159353725162,0.011393761997463631,0.007156003533510904,0.020968214916836116,0.002732530186262412,0.03399072265570964,0.0029838200937674694,0.000496811243505627,0.0004942761563153967,0.0033384284289419016
COMM10<AC,24.0,0.004221791416582682,0.2074721920340897,0.19109983582623943,0.4691791233693758,0.06486419358655532,0.7304416356174065,0.05885014404533908,0.04668755024550453,0.006322142108303899,0.06909532440894435
COMM10<BH,0.0,0.0002273234580307837,0.0040006640846436915,0.006821161526738208,0.023490616832081996,0.002305423036422508,0.0387258179085554,0.0043790188169966,0.000728294724545343,0.0003647473538517059,0.0064092355320585935
COMM10<BH,24.0,0.002333719190513599,0.06985529368377554,0.20621237952223595,0.49816018261885864,0.04793652014884981,0.8092637427242702,0.06772692448039103,0.08431502779203248,0.00525936246831882,0.11558492807842113
COMM10<BP,0.0,0.0002136297598164776,0.004691877898459888,0.005191895114132305,0.01995392051341451,0.0032726997915651715,0.04199175210896412,0.0007377579666979812,0.0016506720816586132,0.0003400488689953005,0.0047207458962956325
COMM10<BP,24.0,0.0018870402214344918,0.08113491430041649,0.25246256169484693,0.41891901266095927,0.07991175353088459,0.8441796814097994,0.013374351718360397,0.043856989403444645,0.0046300576762800935,0.08376863738357358
COMM10<BT,0.0,0.0001888267717175863,0.006381274611645653,0.004742613817937497,0.020709578403772973,0.00631998316514204,0.03335738412759125,0.001156541162554439,0.0005829527521394874,0.000365563996389624,0.007159271423492869
COMM10<BT,24.0,0.001444965466198907,0.108302071167661,0.21290222427926278,0.4337160763897128,0.11276027339216245,0.6743413841894449,0.020620007498012488,0.0389575718337496,0.005278443465915039,0.12468600908005184
COMM10<BV,0.0,0.00012409675958492735,0.02777860454808877,0.004260509832660979,0.016033771127117954,0.0010358974870761147,0.03311333999365547,0.002344673825811212,0.0001665675432926053,0.00045120309980412705,0.005286335782907841
COMM10<BV,24.0,0.0003147301782551986,0.519875541115735,0.14399030442788907,0.37755059034740485,0.02789143354401112,0.7512599933713442,0.06591778656936452,0.0022736493874000157,0.006635336614618397,0.12092699808034148
COMM10<DL,0.0,0.00023824996893263367,0.0018958780329339652,0.008460161695843115,0.0176929957219756,0.0026458869483520124,0.04105297453112651,0.002749020473053025,0.00043172658122587175,0.0003780735396472563,0.00413290935623235
COMM10<DL,24.0,0.0018019602428456045,0.0332753231969869,0.2682006156677556,0.3780170924490415,0.05550203178211916,0.7988896001669524,0.04795304109320881,0.028953722269373455,0.005036768640978943,0.0763344586461098
COMM10<DP,0.0,0.00033050555504792573,0.005409970889278573,0.00645842137864761,0.027392635351653122,0.0020865103219655885,0.03487272694123386,0.0029654005130594087,0.0010934409546862237,0.0003294211482593039,0.004602067959792381
COMM10<DP,24.0,0.004056005599655194,0.09019144624116826,0.179276127345698,0.5087942891620387,0.04217474461182482,0.7455254583596954,0.050388935111663646,0.1151109215887378,0.004353675700528217,0.07831341317272324
COMM10<EL,0.0,0.0003844455293301179,0.0076046938960168935,0.0028254333490126777,0.021007224992780935,0.004389735751365718,0.03820087781246375,0.0012706299895358622,0.0007402271956488228,0.0005036501593906888,0.005892525768898983
COMM10<EL,24.0,0.003250009792158814,0.1383616279142543,0.3237828150707094,0.5315256049241142,0.1719569220005799,1.2389618593044132,0.04518294113706947,0.03069357755675458,0.007774895069683024,0.16128247450299033
COMM10<PJ,0.0,0.001599784125084186,0.005645227359416477,0.006567330194223097,0.020120405005626906,0.001660857665680963,0.03699829386766389,0.005232575442776639,0.0003623559223503508,0.0002952725710344854,0.00585539784614301
COMM10<PJ,24.0,0.009605930777155106,0.116989209775056,0.2170559682493974,0.4568822139233391,0.050493833938484035,0.8024141498749646,0.1264553703246394,0.032706517838033695,0.004001665272760068,0.11213537686488861
COMM10<equal,0.0,0.0004890940853265177,0.004615003662467076,0.006904446462895822,0.024528370703113627,0.004148277211247759,0.036571452729890416,0.002098436575379256,0.0008309344428925804,0.0005430797982519253,0.007045032868166522
COMM10<equal,24.0,0.004506011941888653,0.07772559528035035,0.2556901543190218,0.46446706914979224,0.09130838077625592,0.8535983057594283,0.03462675288767855,0.03669217739630314,0.006389072944584979,0.11981311177788263
