Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
COMM10<AC,0.0,0.0003616368109206,0.000251847627994,8.294266137756942e-05,0.0197944964918955,0.0006459018445049,0.0001685546119237,0.0004673413451607,6.68480783457466e-05,0.0009554795309164,0.0035879229832517
COMM10<AC,24.0,0.0020857006652422,0.0027970517635978,0.0,0.4301706830869476,0.0103895108171195,0.002022467283813,0.0082546084312671,3.70821087435709e-05,0.0141333205773814,0.0904924417040734
COMM10<BH,0.0,0.0001635672483696,0.0002504960324868,2.347261718628579e-05,0.0149091160583223,0.0005362243085468,0.0001479907506854,0.0009023450886743,6.426072742061905e-05,0.0017195961726593,0.0078954309956482
COMM10<BH,24.0,0.001271115696162,0.0038374049629425,0.0003575654465151,0.3272104884045796,0.0086057321116614,0.0019830312264911,0.0038502265076203,0.0005922858582797,0.0278690587137974,0.1338914846162965
COMM10<BP,0.0,0.0002126894423375,0.0001326296068817,1.8436235022434237e-05,0.0189803160267506,0.0002728357451177,0.0004528007226179,0.00026494329913,0.0006751914519762,0.0010356449697999,0.00307395694481
COMM10<BP,24.0,0.0016916479427113,0.0014322713047258,0.0002458117539315,0.4040568997842149,0.0033547239806353,0.0066743360247679,0.0053824340701993,0.0021394529024934,0.0163109152018676,0.1028478706708159
COMM10<BT,0.0,0.0001542537348108,0.0001201793518118,7.076275299461794e-05,0.0163050244869089,0.0009190892320487,0.0004693602676433,0.0001999472947957,4.679527628759754e-05,0.0008615815349331,0.0083379978922832
COMM10<BT,24.0,0.0009477252920937,0.001760069320798,0.00122082018233,0.361633207758902,0.0058557110014478,0.0077609629597705,0.0033884532472382,0.0002651698159023,0.0146967125182026,0.1604762590385411
COMM10<BV,0.0,0.000153295984754,0.0009577477756463,2.1300597582829296e-05,0.016708068538321,0.0001682327657814,0.0004229960669889,0.0001620406407683,9.347351156726696e-05,0.0012163142003932,0.0083275133864518
COMM10<BV,24.0,0.0005669052090493,0.0065168527052892,0.0003458922419431,0.3723453699225816,0.0027499195395947,0.0061533012646546,0.0046357256817259,0.0094358422739098,0.0187062708033965,0.1566649953016695
COMM10<DL,0.0,0.0002095743383984,8.955367272987108e-05,1.3729034462005153e-05,0.016692691545591,0.0003006369761934,0.000872149712914,0.0003037683240177,3.617550815675856e-05,0.0005696464741948,0.0031311190750268
COMM10<DL,24.0,0.0010633554581216,0.0008313172373054,0.0001403435981496,0.3683601942296188,0.0049849761490294,0.0058377859813227,0.0052539294392018,3.338705340291597e-05,0.0083657340978198,0.1051224348563277
COMM10<DP,0.0,0.0001796944891883,0.0002553655033979,6.992206976826308e-05,0.0179202681526566,0.0004665177269549,0.0006118268252194,0.0001272181610187,8.196506910393853e-05,0.0013258911088447,0.0070188308938469
COMM10<DP,24.0,0.0015424878353291,0.0038760513081256,0.001101070961647,0.3689436658475942,0.0075042302571091,0.0097069328039014,0.0019586055269542,0.0009240435187755,0.0215865837074472,0.1208897298166416
COMM10<EL,0.0,0.0003168583695407,0.0005951547553925,2.7668824529515407e-05,0.0174366729486982,0.0005024490487457,0.0004011915753928,0.0002202958485195,9.850131762483324e-05,0.0014337863310127,0.0083024209805431
COMM10<EL,24.0,0.0026297159153491,0.0087166773300972,0.0003181231408742,0.3729610577386,0.0073390692143172,0.0053584468636701,0.0040085958643738,0.0003822023457028,0.0230329817546447,0.1459614631657037
COMM10<PJ,0.0,0.0012277872272646,0.0001757914356073,2.618379927352224e-05,0.0171679785088373,0.0003459493848189,0.0005844870579598,9.059360880544028e-05,3.3340211020283945e-05,0.0011344894851797,0.0068650821029883
COMM10<PJ,24.0,0.0055970033978201,0.0025993096610613,0.0003929137767177,0.3703903254070919,0.0055892144842851,0.0091756712432492,0.0012791656723237,0.0001545388715663,0.0180555815275101,0.1166582883772353
COMM10<equal,0.0,0.0003210032550324,0.0001938386722808,1.8672349845998505e-05,0.0195776538433443,0.0003445936305176,0.0002784690162288,0.0004756867063009,0.0001095069740511,0.0009183120737597,0.0042425489756077
COMM10<equal,24.0,0.0013095985861781,0.0021652602640097,0.0007831340605929,0.4113928904133583,0.0064897878096711,0.0032529805385507,0.0078499175699019,0.000316983621746,0.0126113513786732,0.1215054947986397
MonospeciesAC,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,24.0,0.0,0.0,0.03422565603083921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14210446066487847,0.0,0.0,0.0
MonospeciesBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MonospeciesBP,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020276698949919632,0.0,0.0
MonospeciesBT,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
MonospeciesBT,24.0,0.0,0.0,0.0,0.0,0.07684665773738275,0.0,0.0,0.0,0.0,0.0
MonospeciesBV,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBV,24.0,0.0,0.13615662068645204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105333333333333,0.0
MonospeciesCS,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13714354420125166,0.0
MonospeciesDL,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
MonospeciesDL,24.0,0.0,0.0,0.0,0.0,0.0,0.08792660416167934,0.0,0.0,0.0,0.0
MonospeciesDP,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesDP,24.0,0.0,0.0,0.0,0.08101667477460821,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MonospeciesEL,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03000878474113006
MonospeciesPJ,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesPJ,24.0,0.044018313056653026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubCommB30,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.0,0.0,0.0,0.00375
SubCommB30,24.0,0.0,0.1798112123625613,0.0,0.0,0.1711317280146083,0.1645118963025981,0.0,0.0,0.0,0.076205197036943
SubCommB41,0.0,0.00375,0.0,0.00375,0.0,0.0,0.0,0.00375,0.0,0.00375,0.0
SubCommB41,24.0,0.0412359915377444,0.0,0.0032246750035281,0.0,0.0,0.0,0.0185510444620669,0.0,0.2676594386392368,0.0
SubCommB54,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.0,0.00375,0.0
SubCommB54,24.0,0.0,0.0,0.0036016047125672,0.0,0.0,0.0269824928597007,0.0235331654915367,0.0,0.2557897170200109,0.0
SubCommB58,0.0,0.00375,0.0,0.00375,0.0,0.0,0.00375,0.0,0.0,0.00375,0.0
SubCommB58,24.0,0.0562376472307313,0.0,0.0026443550039346,0.0,0.0,0.0458910160506335,0.0,0.0,0.1585397478851491,0.0
SubCommB74,0.0,0.0,0.0,0.0,0.003,0.0,0.003,0.003,0.003,0.0,0.003
SubCommB74,24.0,0.0,0.0,0.0,0.3828998920585174,0.0,0.0697210665154807,0.0166128837883157,0.0097704085791771,0.0,0.0133724041442166
SubCommB75,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.003,0.003,0.0,0.003
SubCommB75,24.0,0.0,0.0,0.0,0.4477434125814762,0.2001785281204103,0.0,0.0192426621217323,0.0039223284689106,0.0,0.0949991663527655
SubCommB76,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0025
SubCommB76,24.0,0.0,0.0,0.0,0.2861603959751113,0.2594495667718692,0.1135188175289236,0.0086491526051614,0.002990958165843,0.0,0.1296768024819116
SubCommB77,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0025
SubCommB77,24.0,0.0,0.1592529708133239,0.0,0.2539225819177887,0.134194541791139,0.0,0.0034659611565707,0.0048404772136338,0.0,0.1193117640409149
SubCommB78,0.0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0025
SubCommB78,24.0,0.0,0.1301655393610533,0.0,0.3424052436361458,0.0,0.1408165607015824,0.0107154877268985,0.0080524705715277,0.0,0.0708699537503129
SubCommB79,0.0,0.0,0.0021428571428571,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571
SubCommB79,24.0,0.0,0.054106302746622,0.0,0.2381985382227809,0.0622867246114142,0.1894755608304066,0.0079228554466096,0.0024508406636983,0.0,0.1793840292197185
SubCommB80,0.0,0.003,0.0,0.003,0.003,0.003,0.0,0.0,0.0,0.003,0.0
SubCommB80,24.0,0.022688802211815,0.0,0.0007775406146134,0.1891977521051869,0.0819258354376262,0.0,0.0,0.0,0.0819721074582221,0.0
SubCommB81,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0025,0.0
SubCommB81,24.0,0.0,0.0834986658511962,0.001718237201812,0.1859981421959544,0.0,0.0121226605422565,0.007135492053724,0.0,0.0670704693281022,0.0
SubCommB82,0.0,0.00375,0.0,0.0,0.0,0.0,0.00375,0.00375,0.0,0.00375,0.0
SubCommB82,24.0,0.0401875197836067,0.0,0.0,0.0,0.0,0.0745799756331159,0.0331728362628215,0.0,0.2090155073544347,0.0
SubCommB83,0.0,0.003,0.0,0.003,0.0,0.0,0.003,0.003,0.0,0.003,0.0
