Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
COMM10<AC,0.0,0.0007401884647879933,0.008113858765582049,9.434755144581177e-05,0.019456771278958618,0.008972029507514802,0.0009890178695597415,0.0022604827198219562,0.00010566979580996878,0.001997340151457262,0.008326283198847977
COMM10<AC,24.0,0.010515888157105533,0.19570794394229585,0.0001900815011373723,0.3990700011171911,0.19317132676169455,0.015351283521391776,0.04616740853808216,0.000684110733147274,0.034361662029260095,0.18788011542846392
COMM10<BH,0.0,0.0005566972812845542,0.008963809622488515,7.871063504248484e-06,0.016215905895813933,0.00819527815858633,0.0011583591753207918,0.0024472362180676904,6.056941287593328e-05,0.0017866245863026474,0.006393457627961832
COMM10<BH,24.0,0.01065592119733437,0.21993269476128505,6.138965444138224e-05,0.36237089962329966,0.1788173490149056,0.017909251081395374,0.03736285682554879,0.0003946390875382501,0.031596802567888146,0.16612114086166682
COMM10<BP,0.0,0.0005162354125727522,0.0078360911988454,4.106894625838387e-05,0.0136912964072123,0.006378374803123902,0.0006463469665692545,0.0015975037829043352,0.0009106206862480847,0.0023348619784129333,0.012563306321917916
COMM10<BP,24.0,0.010084694078429738,0.1881952010836543,0.0007965175572729647,0.3009060360941559,0.14767117872771343,0.00962370588988412,0.03829625263483714,0.006365462806009491,0.04069553363271853,0.260960525896412
COMM10<BT,0.0,0.0005325662639961185,0.007732866905964575,6.109019050479017e-05,0.014604620512659785,0.007300646611473024,0.001094021097927742,0.0013224170845009997,0.00017564425253814692,0.0016583410248886365,0.01189559151540621
COMM10<BT,24.0,0.010336057225313682,0.19485181287381578,0.0009578757923053824,0.30948823974305506,0.15651277236898434,0.0175252298845292,0.028908499101031927,0.0023905552687529846,0.03033201590924636,0.24720203283063247
COMM10<BV,0.0,0.0005040334302705304,0.008240926688786912,2.316204688887464e-05,0.016221053523446653,0.006069650220210096,0.0010352196656464633,0.001263334730321724,0.00012585546132854006,0.0015817053880427256,0.010830844369680223
COMM10<BV,24.0,0.008654082404824555,0.18757772825952604,0.0004420923412760748,0.3204126032858159,0.13792645824013253,0.016549246248540823,0.02489028317478578,0.00069548834863333,0.027458741290396313,0.2689897018164477
COMM10<DL,0.0,0.000545892292716275,0.0074374924572155835,1.411615972393237e-05,0.016864398243549582,0.00723363485202558,0.0023745922467869563,0.0008985623936953931,5.7360129555413496e-05,0.0013521140225636794,0.010090634232256597
COMM10<DL,24.0,0.009417394167081641,0.1894688487668387,0.00015798211010598645,0.36874281303368545,0.16000423099783542,0.031105536254937987,0.022569110505890073,0.0004439743358581861,0.02528476970709818,0.21899362395548494
COMM10<DP,0.0,0.0008400780699406329,0.010002973645708466,4.8222650868007716e-06,0.019160354206071078,0.008138732086032526,0.0013035679287512051,0.001121750964984721,7.397043932041437e-05,0.0013954834266856606,0.0043994106396176656
COMM10<DP,24.0,0.01526157305077273,0.23363594650834715,0.0,0.3919344402531948,0.1788563755503791,0.020113080246627165,0.02962946039566374,0.0006530778695785451,0.026068653724044398,0.13590569115657913
COMM10<EL,0.0,0.0008899121140492614,0.008289800361686814,3.8969453305666596e-05,0.013314222762137907,0.0069324142547721145,0.0006161698547786112,0.0009639702043660216,0.00014586362301421518,0.0012833516509381273,0.01179943101294368
COMM10<EL,24.0,0.01447492626016474,0.20458835224390393,0.0008368804889163414,0.3039744703871305,0.15268250183877008,0.008633965558692194,0.026551554592501202,0.0010128742514569388,0.02129484395070582,0.26329862611490706
COMM10<PJ,0.0,0.001900829409980718,0.01051636131708689,2.4439520333680906e-06,0.015750081962062283,0.007133685720222566,0.0007408000835872907,0.000729193455969367,7.29979988589694e-05,0.0016579008457941996,0.005617580254404351
COMM10<PJ,24.0,0.01741411050332745,0.24499481487889088,0.0,0.3379672747911743,0.16095735934317126,0.011425272661692793,0.020284781494110136,0.0007091567200125408,0.028309323498789684,0.15073790610883092
COMM10<equal,0.0,0.0007213141531793745,0.007636346332601698,2.0352654452759636e-05,0.0175213210996958,0.005939291820392647,0.0007377410051264366,0.001999257316201659,0.00015861747996025917,0.0017338066185374785,0.008917606760854757
COMM10<equal,24.0,0.011143237346447446,0.18628509421297557,0.0002741000698563433,0.3693816664038832,0.1414061687452385,0.010512510858011642,0.041141954189787056,0.0012915883751707957,0.0300766200728852,0.19912298040912546
MonospeciesAC,0.0,0.0,0.0,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,2.7572222222222216,0.0,0.0,0.016133333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,4.784166666666667,0.0,0.0,0.03406666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,6.784722222222222,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,8.785,0.0,0.0,0.02753333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,9.697222222222225,0.0,0.0,0.02896666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,11.697777777777775,0.0,0.0,0.03783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,13.698055555555555,0.0,0.0,0.04416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,15.698611111111116,0.0,0.0,0.04449999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,17.698611111111113,0.0,0.0,0.15943333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,19.698888888888884,0.0,0.0,0.04879999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,21.698888888888888,0.0,0.0,0.039200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,22.97194444444445,0.0,0.0,0.06393333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,24.965555555555557,0.0,0.0,0.04083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,26.879444444444445,0.0,0.0,0.04036666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,29.1475,0.0,0.0,0.04816666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,30.388055555555557,0.0,0.0,0.05833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,32.38833333333333,0.0,0.0,0.06633333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,34.38861111111111,0.0,0.0,0.04030000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,36.388888888888886,0.0,0.0,0.04349999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,38.38916666666667,0.0,0.0,0.04416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,40.389722222222225,0.0,0.0,0.046099999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,42.39,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,44.39055555555557,0.0,0.0,0.04863333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,46.39111111111111,0.0,0.0,0.04966666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,48.39138888888889,0.0,0.0,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,50.39194444444446,0.0,0.0,0.051133333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,51.9888888888889,0.0,0.0,0.050633333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,2.8169444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.09250000000000003,0.0,0.0,0.0
MonospeciesBH,4.8438888888888885,0.0,0.0,0.0,0.0,0.0,0.0,0.0659,0.0,0.0,0.0
MonospeciesBH,6.8444444444444414,0.0,0.0,0.0,0.0,0.0,0.0,0.07300000000000001,0.0,0.0,0.0
MonospeciesBH,8.844722222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.06756666666666668,0.0,0.0,0.0
MonospeciesBH,9.756944444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.054633333333333346,0.0,0.0,0.0
MonospeciesBH,11.7575,0.0,0.0,0.0,0.0,0.0,0.0,0.07320000000000002,0.0,0.0,0.0
MonospeciesBH,13.757777777777774,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0,0.0,0.0
