Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
COMM10<AC,0.0,0.0022030047490201,0.0009930747428067,0.0001355836000497,0.0127646276266223,0.0253356873880143,0.0003257983084162,0.0003510513299543,8.501704991408753e-05,0.0027394145088924,0.0024567099500616
COMM10<AC,24.0,0.0309202347012707,0.0151341388420246,0.0005104843732453,0.2592697189070092,0.7976054013339016,0.0038539557691347,0.0051963661698346,6.780976220275344e-05,0.0570272940953334,0.0601041041060762
COMM10<BH,0.0,0.0016907471990546,0.0005370490875443,3.6129693012503726e-05,0.0144564991380275,0.030776444776743,0.0003164963075705,0.0014610000489091,4.463209430513027e-05,0.0024425380906626,0.0032674648431309
COMM10<BH,24.0,0.0263329697964834,0.0096257429683505,0.0007325734830511,0.2969165297306662,0.872549200624447,0.0046113071023021,0.0134941230915028,0.0002080965263778,0.0546941093313086,0.089173550092137
COMM10<BP,0.0,0.0017912498501569,0.0004765861330925,5.556190619112241e-05,0.0140711838064472,0.0233897370064713,0.0005134646458236,0.0003511921668125,0.000840865287318,0.0026340432563925,0.002788146470588
COMM10<BP,24.0,0.0264449981712787,0.0091074351424188,0.0007960082062184,0.2862958337975796,0.8170900206046835,0.0065029875886501,0.0063192458422741,0.0013313951830022,0.0569545491845467,0.0545668900683635
COMM10<BT,0.0,0.0021743945986229,0.0005218488113546,0.0001098776414295,0.0146422254978431,0.0227652671223136,0.0004001566754884,0.0003721259370383,4.026367051620982e-05,0.0023315267830355,0.0035234130169354
COMM10<BT,24.0,0.0332105546887701,0.009752236879805,0.0016856894035429,0.2829264376883781,0.7588785971589292,0.0055523607106946,0.0055869897089667,0.0,0.048967135700426,0.0750875941337334
COMM10<BV,0.0,0.0021833205582291,0.0013696162480931,9.07548278958479e-05,0.0119571244979126,0.0249567749899119,0.0002457329209166,0.0003775720895103,0.0001051577005131,0.0025211117336347,0.0043052338461704
COMM10<BV,24.0,0.0327973969360478,0.0125252117488479,0.0013552081925366,0.2340471819274077,0.7935107307887099,0.0030864289199859,0.0052152488571039,0.0,0.0521182599539324,0.0877427232800382
COMM10<DL,0.0,0.0012683902190273,0.000476926363013,6.553162112654307e-05,0.0131612328604217,0.0341933680044456,0.0015021863371719,0.0002975166205596,3.072166940392233e-05,0.0016270228424122,0.003033399743235
COMM10<DL,24.0,0.019622352989838,0.0084846573126887,0.0010149064668161,0.263679031565614,0.9051137625241134,0.0165654377613552,0.0049701150578783,0.0,0.040219634068626,0.0721017069333559
COMM10<DP,0.0,0.0032295961968556,0.0008217825912777,7.383971092417545e-05,0.0130194447941997,0.0331664084117829,0.0002412583320415,0.0003215198337254,3.725468720133908e-05,0.0030383915231763,0.0029529481481692
