Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
COMM10<AC,0.0,0.0007401884647879,0.008113858765582,9.434755144581175e-05,0.0194567712789586,0.0089720295075148,0.0009890178695597,0.0022604827198219,0.0001056697958099,0.0019973401514572,0.0083262831988479
COMM10<AC,24.0,0.0105158881571055,0.1957079439422958,0.0001900815011373,0.3990700011171911,0.1931713267616945,0.0153512835213917,0.0461674085380821,0.0006841107331472,0.03436166202926,0.1878801154284639
COMM10<BH,0.0,0.0005566972812845,0.0089638096224885,7.871063504248484e-06,0.0162159058958139,0.0081952781585863,0.0011583591753207,0.0024472362180676,6.056941287593328e-05,0.0017866245863026,0.0063934576279618
COMM10<BH,24.0,0.0106559211973343,0.219932694761285,6.138965444138224e-05,0.3623708996232996,0.1788173490149056,0.0179092510813953,0.0373628568255487,0.0003946390875382,0.0315968025678881,0.1661211408616668
COMM10<BP,0.0,0.0005162354125727,0.0078360911988454,4.106894625838387e-05,0.0136912964072123,0.0063783748031239,0.0006463469665692,0.0015975037829043,0.000910620686248,0.0023348619784129,0.0125633063219179
COMM10<BP,24.0,0.0100846940784297,0.1881952010836543,0.0007965175572729,0.3009060360941559,0.1476711787277134,0.0096237058898841,0.0382962526348371,0.0063654628060094,0.0406955336327185,0.260960525896412
COMM10<BT,0.0,0.0005325662639961,0.0077328669059645,6.109019050479017e-05,0.0146046205126597,0.007300646611473,0.0010940210979277,0.0013224170845009,0.0001756442525381,0.0016583410248886,0.0118955915154062
COMM10<BT,24.0,0.0103360572253136,0.1948518128738157,0.0009578757923053,0.309488239743055,0.1565127723689843,0.0175252298845292,0.0289084991010319,0.0023905552687529,0.0303320159092463,0.2472020328306324
COMM10<BV,0.0,0.0005040334302705,0.0082409266887869,2.316204688887464e-05,0.0162210535234466,0.00606965022021,0.0010352196656464,0.0012633347303217,0.0001258554613285,0.0015817053880427,0.0108308443696802
COMM10<BV,24.0,0.0086540824048245,0.187577728259526,0.000442092341276,0.3204126032858159,0.1379264582401325,0.0165492462485408,0.0248902831747857,0.0006954883486333,0.0274587412903963,0.2689897018164477
COMM10<DL,0.0,0.0005458922927162,0.0074374924572155,1.411615972393237e-05,0.0168643982435495,0.0072336348520255,0.0023745922467869,0.0008985623936953,5.7360129555413496e-05,0.0013521140225636,0.0100906342322565
COMM10<DL,24.0,0.0094173941670816,0.1894688487668387,0.0001579821101059,0.3687428130336854,0.1600042309978354,0.0311055362549379,0.02256911050589,0.0004439743358581,0.0252847697070981,0.2189936239554849
COMM10<DP,0.0,0.0008400780699406,0.0100029736457084,4.8222650868007716e-06,0.019160354206071,0.0081387320860325,0.0013035679287512,0.0011217509649847,7.397043932041437e-05,0.0013954834266856,0.0043994106396176
